name	genome	stage	tissue	library	id
Oh43_16DAP_endosperm_MN23091_Oh43	Oh43	16DAP	endosperm	MN23091	Oh43_16DAP_endosperm
Oh43_16DAP_endosperm_MN23092_Oh43	Oh43	16DAP	endosperm	MN23092	Oh43_16DAP_endosperm
Oh43_8DAS_root_MN23012_Oh43	Oh43	8DAS	root	MN23012	Oh43_8DAS_root
Oh43_8DAS_root_MN23013_Oh43	Oh43	8DAS	root	MN23013	Oh43_8DAS_root
Oh43_8DAS_shoot_MN23021_Oh43	Oh43	8DAS	shoot	MN23021	Oh43_8DAS_shoot
Oh43_8DAS_shoot_MN23022_Oh43	Oh43	8DAS	shoot	MN23022	Oh43_8DAS_shoot
Oh43_R1_anther_MN23081_Oh43	Oh43	R1	anther	MN23081	Oh43_R1_anther
Oh43_R1_anther_MN23082_Oh43	Oh43	R1	anther	MN23082	Oh43_R1_anther
Oh43_V11_base_MN23031_Oh43	Oh43	V11	base	MN23031	Oh43_V11_base
Oh43_V11_base_MN23032_Oh43	Oh43	V11	base	MN23032	Oh43_V11_base
Oh43_V11_middle_MN23041_Oh43	Oh43	V11	middle	MN23041	Oh43_V11_middle
Oh43_V11_middle_MN23042_Oh43	Oh43	V11	middle	MN23042	Oh43_V11_middle
Oh43_V11_tip_MN23051_Oh43	Oh43	V11	tip	MN23051	Oh43_V11_tip
Oh43_V11_tip_MN23052_Oh43	Oh43	V11	tip	MN23052	Oh43_V11_tip
Oh43_V18_ear_MN23071_Oh43	Oh43	V18	ear	MN23071	Oh43_V18_ear
Oh43_V18_ear_MN23072_Oh43	Oh43	V18	ear	MN23072	Oh43_V18_ear
Oh43_V18_tassel_MN23061_Oh43	Oh43	V18	tassel	MN23061	Oh43_V18_tassel
Oh43_V18_tassel_MN23062_Oh43	Oh43	V18	tassel	MN23062	Oh43_V18_tassel
Oh7b_16DAP_embryo_MN24101_Oh7b	Oh7b	16DAP	embryo	MN24101	Oh7b_16DAP_embryo
Oh7b_16DAP_embryo_MN24102_Oh7b	Oh7b	16DAP	embryo	MN24102	Oh7b_16DAP_embryo
Oh7b_16DAP_endosperm_MN24091_Oh7b	Oh7b	16DAP	endosperm	MN24091	Oh7b_16DAP_endosperm
Oh7b_16DAP_endosperm_MN24092_Oh7b	Oh7b	16DAP	endosperm	MN24092	Oh7b_16DAP_endosperm
Oh7b_8DAS_root_MN24011_Oh7b	Oh7b	8DAS	root	MN24011	Oh7b_8DAS_root
Oh7b_8DAS_root_MN24012_Oh7b	Oh7b	8DAS	root	MN24012	Oh7b_8DAS_root
Oh7b_8DAS_shoot_MN24021_Oh7b	Oh7b	8DAS	shoot	MN24021	Oh7b_8DAS_shoot
Oh7b_8DAS_shoot_MN24022_Oh7b	Oh7b	8DAS	shoot	MN24022	Oh7b_8DAS_shoot
Oh7b_R1_anther_MN24081_Oh7b	Oh7b	R1	anther	MN24081	Oh7b_R1_anther
Oh7b_R1_anther_MN24082_Oh7b	Oh7b	R1	anther	MN24082	Oh7b_R1_anther
Oh7b_V11_base_MN24031_Oh7b	Oh7b	V11	base	MN24031	Oh7b_V11_base
Oh7b_V11_base_MN24032_Oh7b	Oh7b	V11	base	MN24032	Oh7b_V11_base
Oh7b_V11_middle_MN24042_Oh7b	Oh7b	V11	middle	MN24042	Oh7b_V11_middle
Oh7b_V11_tip_MN24051_Oh7b	Oh7b	V11	tip	MN24051	Oh7b_V11_tip
Oh7b_V11_tip_MN24052_Oh7b	Oh7b	V11	tip	MN24052	Oh7b_V11_tip
Oh7b_V18_ear_MN24071_Oh7b	Oh7b	V18	ear	MN24071	Oh7b_V18_ear
Oh7b_V18_ear_MN24072_Oh7b	Oh7b	V18	ear	MN24072	Oh7b_V18_ear
Oh7b_V18_tassel_MN24061_Oh7b	Oh7b	V18	tassel	MN24061	Oh7b_V18_tassel
Oh7b_V18_tassel_MN24062_Oh7b	Oh7b	V18	tassel	MN24062	Oh7b_V18_tassel
P39_16DAP_embryo_MN25101_P39	P39	16DAP	embryo	MN25101	P39_16DAP_embryo
P39_16DAP_embryo_MN25102_P39	P39	16DAP	embryo	MN25102	P39_16DAP_embryo
P39_16DAP_endosperm_MN25091_P39	P39	16DAP	endosperm	MN25091	P39_16DAP_endosperm
P39_16DAP_endosperm_MN25092_P39	P39	16DAP	endosperm	MN25092	P39_16DAP_endosperm
P39_8DAS_root_MN25011_P39	P39	8DAS	root	MN25011	P39_8DAS_root
P39_8DAS_root_MN25012_P39	P39	8DAS	root	MN25012	P39_8DAS_root
P39_8DAS_shoot_MN25021_P39	P39	8DAS	shoot	MN25021	P39_8DAS_shoot
P39_8DAS_shoot_MN25022_P39	P39	8DAS	shoot	MN25022	P39_8DAS_shoot
P39_R1_anther_MN25081_P39	P39	R1	anther	MN25081	P39_R1_anther
P39_R1_anther_MN25082_P39	P39	R1	anther	MN25082	P39_R1_anther
P39_V11_base_MN25031_P39	P39	V11	base	MN25031	P39_V11_base
P39_V11_base_MN25032_P39	P39	V11	base	MN25032	P39_V11_base
P39_V11_middle_MN25041_P39	P39	V11	middle	MN25041	P39_V11_middle
P39_V11_middle_MN25042_P39	P39	V11	middle	MN25042	P39_V11_middle
P39_V11_tip_MN25051_P39	P39	V11	tip	MN25051	P39_V11_tip
P39_V11_tip_MN25052_P39	P39	V11	tip	MN25052	P39_V11_tip
P39_V18_ear_MN25071_P39	P39	V18	ear	MN25071	P39_V18_ear
P39_V18_ear_MN25072_P39	P39	V18	ear	MN25072	P39_V18_ear
P39_V18_tassel_MN25061_P39	P39	V18	tassel	MN25061	P39_V18_tassel
P39_V18_tassel_MN25062_P39	P39	V18	tassel	MN25062	P39_V18_tassel
Tx303_16DAP_embryo_MN26101_Tx303	Tx303	16DAP	embryo	MN26101	Tx303_16DAP_embryo
Tx303_16DAP_embryo_MN26103_Tx303	Tx303	16DAP	embryo	MN26103	Tx303_16DAP_embryo
Tx303_16DAP_endosperm_MN26091_Tx303	Tx303	16DAP	endosperm	MN26091	Tx303_16DAP_endosperm
Tx303_16DAP_endosperm_MN26093_Tx303	Tx303	16DAP	endosperm	MN26093	Tx303_16DAP_endosperm
Tx303_8DAS_root_MN26011_Tx303	Tx303	8DAS	root	MN26011	Tx303_8DAS_root
Tx303_8DAS_root_MN26012_Tx303	Tx303	8DAS	root	MN26012	Tx303_8DAS_root
Tx303_8DAS_shoot_MN26021_Tx303	Tx303	8DAS	shoot	MN26021	Tx303_8DAS_shoot
Tx303_8DAS_shoot_MN26022_Tx303	Tx303	8DAS	shoot	MN26022	Tx303_8DAS_shoot
Tx303_R1_anther_MN26081_Tx303	Tx303	R1	anther	MN26081	Tx303_R1_anther
Tx303_R1_anther_MN26082_Tx303	Tx303	R1	anther	MN26082	Tx303_R1_anther
Tx303_V11_base_MN26031_Tx303	Tx303	V11	base	MN26031	Tx303_V11_base
Tx303_V11_base_MN26032_Tx303	Tx303	V11	base	MN26032	Tx303_V11_base
Tx303_V11_base_MN26033_Tx303	Tx303	V11	base	MN26033	Tx303_V11_base
Tx303_V11_middle_MN26041_Tx303	Tx303	V11	middle	MN26041	Tx303_V11_middle
Tx303_V11_middle_MN26043_Tx303	Tx303	V11	middle	MN26043	Tx303_V11_middle
Tx303_V11_tip_MN26051_Tx303	Tx303	V11	tip	MN26051	Tx303_V11_tip
Tx303_V11_tip_MN26052_Tx303	Tx303	V11	tip	MN26052	Tx303_V11_tip
Tx303_V11_tip_MN26053_Tx303	Tx303	V11	tip	MN26053	Tx303_V11_tip
Tx303_V18_ear_MN26071_Tx303	Tx303	V18	ear	MN26071	Tx303_V18_ear
Tx303_V18_ear_MN26072_Tx303	Tx303	V18	ear	MN26072	Tx303_V18_ear
Tx303_V18_tassel_MN26061_Tx303	Tx303	V18	tassel	MN26061	Tx303_V18_tassel
Tx303_V18_tassel_MN26062_Tx303	Tx303	V18	tassel	MN26062	Tx303_V18_tassel
Tzi8_16DAP_embryo_MN27101_Tzi8	Tzi8	16DAP	embryo	MN27101	Tzi8_16DAP_embryo
Tzi8_16DAP_embryo_MN27102_Tzi8	Tzi8	16DAP	embryo	MN27102	Tzi8_16DAP_embryo
Tzi8_16DAP_endosperm_MN27091_Tzi8	Tzi8	16DAP	endosperm	MN27091	Tzi8_16DAP_endosperm
Tzi8_16DAP_endosperm_MN27092_Tzi8	Tzi8	16DAP	endosperm	MN27092	Tzi8_16DAP_endosperm
Tzi8_8DAS_root_MN27011_Tzi8	Tzi8	8DAS	root	MN27011	Tzi8_8DAS_root
Tzi8_8DAS_root_MN27012_Tzi8	Tzi8	8DAS	root	MN27012	Tzi8_8DAS_root
Tzi8_8DAS_shoot_MN27021_Tzi8	Tzi8	8DAS	shoot	MN27021	Tzi8_8DAS_shoot
Tzi8_8DAS_shoot_MN27022_Tzi8	Tzi8	8DAS	shoot	MN27022	Tzi8_8DAS_shoot
Tzi8_R1_anther_MN27081_Tzi8	Tzi8	R1	anther	MN27081	Tzi8_R1_anther
Tzi8_R1_anther_MN27082_Tzi8	Tzi8	R1	anther	MN27082	Tzi8_R1_anther
Tzi8_V11_base_MN27031_Tzi8	Tzi8	V11	base	MN27031	Tzi8_V11_base
Tzi8_V11_base_MN27032_Tzi8	Tzi8	V11	base	MN27032	Tzi8_V11_base
Tzi8_V11_middle_MN27041_Tzi8	Tzi8	V11	middle	MN27041	Tzi8_V11_middle
Tzi8_V11_middle_MN27042_Tzi8	Tzi8	V11	middle	MN27042	Tzi8_V11_middle
Tzi8_V11_tip_MN27051_Tzi8	Tzi8	V11	tip	MN27051	Tzi8_V11_tip
Tzi8_V11_tip_MN27052_Tzi8	Tzi8	V11	tip	MN27052	Tzi8_V11_tip
Tzi8_V18_ear_MN27071_Tzi8	Tzi8	V18	ear	MN27071	Tzi8_V18_ear
Tzi8_V18_ear_MN27072_Tzi8	Tzi8	V18	ear	MN27072	Tzi8_V18_ear
Tzi8_V18_tassel_MN27061_Tzi8	Tzi8	V18	tassel	MN27061	Tzi8_V18_tassel
Tzi8_V18_tassel_MN27062_Tzi8	Tzi8	V18	tassel	MN27062	Tzi8_V18_tassel
B73_X16DAP_embryo_MN01101_B73	B73	X16DAP	embryo	MN01101	B73_X16DAP_embryo
B73_X16DAP_embryo_MN01102_B73	B73	X16DAP	embryo	MN01102	B73_X16DAP_embryo
B73_X16DAP_endosperm_MN01091_B73	B73	X16DAP	endosperm	MN01091	B73_X16DAP_endosperm
B73_X16DAP_endosperm_MN01092_B73	B73	X16DAP	endosperm	MN01092	B73_X16DAP_endosperm
B73_X8DAS_root_MN01011_B73	B73	X8DAS	root	MN01011	B73_X8DAS_root
B73_X8DAS_root_MN01012_B73	B73	X8DAS	root	MN01012	B73_X8DAS_root
B73_X8DAS_shoot_MN01021_B73	B73	X8DAS	shoot	MN01021	B73_X8DAS_shoot
B73_X8DAS_shoot_MN01022_B73	B73	X8DAS	shoot	MN01022	B73_X8DAS_shoot
B73_R1_anther_MN01081_B73	B73	R1	anther	MN01081	B73_R1_anther
B73_R1_anther_MN01082_B73	B73	R1	anther	MN01082	B73_R1_anther
B73_R1_anther_MNA1081_B73	B73	R1	anther	MNA1081	B73_R1_anther
B73_V11_base_MN01031_B73	B73	V11	base	MN01031	B73_V11_base
B73_V11_base_MN01032_B73	B73	V11	base	MN01032	B73_V11_base
B73_V11_middle_MN01041_B73	B73	V11	middle	MN01041	B73_V11_middle
B73_V11_middle_MN01042_B73	B73	V11	middle	MN01042	B73_V11_middle
B73_V11_middle_MN01043_B73	B73	V11	middle	MN01043	B73_V11_middle
B73_V11_tip_MN01051_B73	B73	V11	tip	MN01051	B73_V11_tip
B73_V11_tip_MN01052_B73	B73	V11	tip	MN01052	B73_V11_tip
B73_V18_ear_MN01071_B73	B73	V18	ear	MN01071	B73_V18_ear
B73_V18_ear_MN01072_B73	B73	V18	ear	MN01072	B73_V18_ear
B73_V18_tassel_MN01061_B73	B73	V18	tassel	MN01061	B73_V18_tassel
B73_V18_tassel_MN01062_B73	B73	V18	tassel	MN01062	B73_V18_tassel
