name	genome	stage	tissue	library	id
CML322_R1_anther_MN08081_CML322	CML322	R1	anther	MN08081	CML322_R1_anther
CML322_R1_anther_MN08082_CML322	CML322	R1	anther	MN08082	CML322_R1_anther
CML322_V11_base_MN08031_CML322	CML322	V11	base	MN08031	CML322_V11_base
CML322_V11_base_MN08032_CML322	CML322	V11	base	MN08032	CML322_V11_base
CML322_V11_middle_MN08041_CML322	CML322	V11	middle	MN08041	CML322_V11_middle
CML322_V11_middle_MN08042_CML322	CML322	V11	middle	MN08042	CML322_V11_middle
CML322_V11_tip_MN08051_CML322	CML322	V11	tip	MN08051	CML322_V11_tip
CML322_V11_tip_MN08053_CML322	CML322	V11	tip	MN08053	CML322_V11_tip
CML322_V18_ear_MN08071_CML322	CML322	V18	ear	MN08071	CML322_V18_ear
CML322_V18_ear_MN08072_CML322	CML322	V18	ear	MN08072	CML322_V18_ear
CML322_V18_tassel_MN08061_CML322	CML322	V18	tassel	MN08061	CML322_V18_tassel
CML322_V18_tassel_MN08062_CML322	CML322	V18	tassel	MN08062	CML322_V18_tassel
CML333_16DAP_endosperm_MN09091_CML333	CML333	16DAP	endosperm	MN09091	CML333_16DAP_endosperm
CML333_8DAS_root_MN09011_CML333	CML333	8DAS	root	MN09011	CML333_8DAS_root
CML333_8DAS_root_MN09012_CML333	CML333	8DAS	root	MN09012	CML333_8DAS_root
CML333_8DAS_shoot_MN09021_CML333	CML333	8DAS	shoot	MN09021	CML333_8DAS_shoot
CML333_8DAS_shoot_MN09022_CML333	CML333	8DAS	shoot	MN09022	CML333_8DAS_shoot
CML333_R1_anther_MN09081_CML333	CML333	R1	anther	MN09081	CML333_R1_anther
CML333_R1_anther_MN09082_CML333	CML333	R1	anther	MN09082	CML333_R1_anther
CML333_V11_base_MN09031_CML333	CML333	V11	base	MN09031	CML333_V11_base
CML333_V11_base_MN09032_CML333	CML333	V11	base	MN09032	CML333_V11_base
CML333_V11_middle_MN09041_CML333	CML333	V11	middle	MN09041	CML333_V11_middle
CML333_V11_middle_MN09042_CML333	CML333	V11	middle	MN09042	CML333_V11_middle
CML333_V11_tip_MN09051_CML333	CML333	V11	tip	MN09051	CML333_V11_tip
CML333_V11_tip_MN09052_CML333	CML333	V11	tip	MN09052	CML333_V11_tip
CML333_V18_ear_MN09071_CML333	CML333	V18	ear	MN09071	CML333_V18_ear
CML333_V18_ear_MN09072_CML333	CML333	V18	ear	MN09072	CML333_V18_ear
CML333_V18_tassel_MN09061_CML333	CML333	V18	tassel	MN09061	CML333_V18_tassel
CML333_V18_tassel_MN09062_CML333	CML333	V18	tassel	MN09062	CML333_V18_tassel
CML52_8DAS_root_MN10011_CML52	CML52	8DAS	root	MN10011	CML52_8DAS_root
CML52_8DAS_root_MN10012_CML52	CML52	8DAS	root	MN10012	CML52_8DAS_root
CML52_8DAS_shoot_MN10021_CML52	CML52	8DAS	shoot	MN10021	CML52_8DAS_shoot
CML52_8DAS_shoot_MN10022_CML52	CML52	8DAS	shoot	MN10022	CML52_8DAS_shoot
CML52_R1_anther_MN10081_CML52	CML52	R1	anther	MN10081	CML52_R1_anther
CML52_R1_anther_MN10082_CML52	CML52	R1	anther	MN10082	CML52_R1_anther
CML52_V11_base_MN10031_CML52	CML52	V11	base	MN10031	CML52_V11_base
CML52_V11_base_MN10032_CML52	CML52	V11	base	MN10032	CML52_V11_base
CML52_V11_middle_MN10041_CML52	CML52	V11	middle	MN10041	CML52_V11_middle
CML52_V11_middle_MN10042_CML52	CML52	V11	middle	MN10042	CML52_V11_middle
CML52_V11_tip_MN10051_CML52	CML52	V11	tip	MN10051	CML52_V11_tip
CML52_V11_tip_MN10052_CML52	CML52	V11	tip	MN10052	CML52_V11_tip
CML52_V18_ear_MN10071_CML52	CML52	V18	ear	MN10071	CML52_V18_ear
CML52_V18_ear_MN10072_CML52	CML52	V18	ear	MN10072	CML52_V18_ear
CML52_V18_tassel_MN10062_CML52	CML52	V18	tassel	MN10062	CML52_V18_tassel
CML69_16DAP_embryo_MN11101_CML69	CML69	16DAP	embryo	MN11101	CML69_16DAP_embryo
CML69_16DAP_embryo_MN11102_CML69	CML69	16DAP	embryo	MN11102	CML69_16DAP_embryo
CML69_16DAP_endosperm_MN11091_CML69	CML69	16DAP	endosperm	MN11091	CML69_16DAP_endosperm
CML69_16DAP_endosperm_MN11092_CML69	CML69	16DAP	endosperm	MN11092	CML69_16DAP_endosperm
CML69_8DAS_root_MN11011_CML69	CML69	8DAS	root	MN11011	CML69_8DAS_root
CML69_8DAS_root_MN11012_CML69	CML69	8DAS	root	MN11012	CML69_8DAS_root
CML69_8DAS_shoot_MN11021_CML69	CML69	8DAS	shoot	MN11021	CML69_8DAS_shoot
CML69_8DAS_shoot_MN11022_CML69	CML69	8DAS	shoot	MN11022	CML69_8DAS_shoot
CML69_R1_anther_MN11081_CML69	CML69	R1	anther	MN11081	CML69_R1_anther
CML69_R1_anther_MN11082_CML69	CML69	R1	anther	MN11082	CML69_R1_anther
CML69_V11_base_MN11031_CML69	CML69	V11	base	MN11031	CML69_V11_base
CML69_V11_base_MN11032_CML69	CML69	V11	base	MN11032	CML69_V11_base
CML69_V11_middle_MN11041_CML69	CML69	V11	middle	MN11041	CML69_V11_middle
CML69_V11_middle_MN11042_CML69	CML69	V11	middle	MN11042	CML69_V11_middle
CML69_V11_tip_MN11051_CML69	CML69	V11	tip	MN11051	CML69_V11_tip
CML69_V11_tip_MN11052_CML69	CML69	V11	tip	MN11052	CML69_V11_tip
CML69_V18_ear_MN11071_CML69	CML69	V18	ear	MN11071	CML69_V18_ear
CML69_V18_ear_MN11072_CML69	CML69	V18	ear	MN11072	CML69_V18_ear
CML69_V18_tassel_MN11061_CML69	CML69	V18	tassel	MN11061	CML69_V18_tassel
CML69_V18_tassel_MN11062_CML69	CML69	V18	tassel	MN11062	CML69_V18_tassel
HP301_16DAP_embryo_MN12101_HP301	HP301	16DAP	embryo	MN12101	HP301_16DAP_embryo
HP301_16DAP_embryo_MN12102_HP301	HP301	16DAP	embryo	MN12102	HP301_16DAP_embryo
HP301_16DAP_endosperm_MN12092_HP301	HP301	16DAP	endosperm	MN12092	HP301_16DAP_endosperm
HP301_16DAP_endosperm_MN12093_HP301	HP301	16DAP	endosperm	MN12093	HP301_16DAP_endosperm
HP301_8DAS_root_MN12011_HP301	HP301	8DAS	root	MN12011	HP301_8DAS_root
HP301_8DAS_root_MN12012_HP301	HP301	8DAS	root	MN12012	HP301_8DAS_root
HP301_8DAS_shoot_MN12021_HP301	HP301	8DAS	shoot	MN12021	HP301_8DAS_shoot
HP301_8DAS_shoot_MN12022_HP301	HP301	8DAS	shoot	MN12022	HP301_8DAS_shoot
HP301_R1_anther_MN12081_HP301	HP301	R1	anther	MN12081	HP301_R1_anther
HP301_R1_anther_MN12082_HP301	HP301	R1	anther	MN12082	HP301_R1_anther
HP301_V11_base_MN12031_HP301	HP301	V11	base	MN12031	HP301_V11_base
HP301_V11_base_MN12032_HP301	HP301	V11	base	MN12032	HP301_V11_base
HP301_V11_middle_MN12041_HP301	HP301	V11	middle	MN12041	HP301_V11_middle
HP301_V11_middle_MN12042_HP301	HP301	V11	middle	MN12042	HP301_V11_middle
HP301_V11_tip_MN12051_HP301	HP301	V11	tip	MN12051	HP301_V11_tip
HP301_V11_tip_MN12052_HP301	HP301	V11	tip	MN12052	HP301_V11_tip
HP301_V18_ear_MN12071_HP301	HP301	V18	ear	MN12071	HP301_V18_ear
HP301_V18_ear_MN12072_HP301	HP301	V18	ear	MN12072	HP301_V18_ear
HP301_V18_tassel_MN12061_HP301	HP301	V18	tassel	MN12061	HP301_V18_tassel
HP301_V18_tassel_MN12062_HP301	HP301	V18	tassel	MN12062	HP301_V18_tassel
IL14H_16DAP_embryo_MN13102_IL14H	IL14H	16DAP	embryo	MN13102	IL14H_16DAP_embryo
IL14H_16DAP_endosperm_MN13091_IL14H	IL14H	16DAP	endosperm	MN13091	IL14H_16DAP_endosperm
IL14H_16DAP_endosperm_MN13092_IL14H	IL14H	16DAP	endosperm	MN13092	IL14H_16DAP_endosperm
IL14H_8DAS_root_MN13011_IL14H	IL14H	8DAS	root	MN13011	IL14H_8DAS_root
IL14H_8DAS_root_MN13012_IL14H	IL14H	8DAS	root	MN13012	IL14H_8DAS_root
IL14H_8DAS_shoot_MN13021_IL14H	IL14H	8DAS	shoot	MN13021	IL14H_8DAS_shoot
IL14H_8DAS_shoot_MN13022_IL14H	IL14H	8DAS	shoot	MN13022	IL14H_8DAS_shoot
IL14H_R1_anther_MN13081_IL14H	IL14H	R1	anther	MN13081	IL14H_R1_anther
IL14H_R1_anther_MN13082_IL14H	IL14H	R1	anther	MN13082	IL14H_R1_anther
IL14H_V11_base_MN13031_IL14H	IL14H	V11	base	MN13031	IL14H_V11_base
IL14H_V11_base_MN13032_IL14H	IL14H	V11	base	MN13032	IL14H_V11_base
IL14H_V11_middle_MN13041_IL14H	IL14H	V11	middle	MN13041	IL14H_V11_middle
IL14H_V11_middle_MN13042_IL14H	IL14H	V11	middle	MN13042	IL14H_V11_middle
IL14H_V11_tip_MN13051_IL14H	IL14H	V11	tip	MN13051	IL14H_V11_tip
IL14H_V11_tip_MN13052_IL14H	IL14H	V11	tip	MN13052	IL14H_V11_tip
IL14H_V18_ear_MN13071_IL14H	IL14H	V18	ear	MN13071	IL14H_V18_ear
IL14H_V18_ear_MN13072_IL14H	IL14H	V18	ear	MN13072	IL14H_V18_ear
IL14H_V18_tassel_MN13061_IL14H	IL14H	V18	tassel	MN13061	IL14H_V18_tassel
IL14H_V18_tassel_MN13062_IL14H	IL14H	V18	tassel	MN13062	IL14H_V18_tassel
Ki11_16DAP_embryo_MN14102_Ki11	Ki11	16DAP	embryo	MN14102	Ki11_16DAP_embryo
Ki11_16DAP_endosperm_MN14092_Ki11	Ki11	16DAP	endosperm	MN14092	Ki11_16DAP_endosperm
Ki11_8DAS_root_MN14011_Ki11	Ki11	8DAS	root	MN14011	Ki11_8DAS_root
Ki11_8DAS_root_MN14012_Ki11	Ki11	8DAS	root	MN14012	Ki11_8DAS_root
Ki11_8DAS_shoot_MN14021_Ki11	Ki11	8DAS	shoot	MN14021	Ki11_8DAS_shoot
Ki11_R1_anther_MN14081_Ki11	Ki11	R1	anther	MN14081	Ki11_R1_anther
Ki11_R1_anther_MN14082_Ki11	Ki11	R1	anther	MN14082	Ki11_R1_anther
Ki11_V11_base_MN14031_Ki11	Ki11	V11	base	MN14031	Ki11_V11_base
Ki11_V11_base_MN14032_Ki11	Ki11	V11	base	MN14032	Ki11_V11_base
Ki11_V11_middle_MN14041_Ki11	Ki11	V11	middle	MN14041	Ki11_V11_middle
Ki11_V11_middle_MN14042_Ki11	Ki11	V11	middle	MN14042	Ki11_V11_middle
Ki11_V11_tip_MN14051_Ki11	Ki11	V11	tip	MN14051	Ki11_V11_tip
Ki11_V11_tip_MN14052_Ki11	Ki11	V11	tip	MN14052	Ki11_V11_tip
Ki11_V18_ear_MN14071_Ki11	Ki11	V18	ear	MN14071	Ki11_V18_ear
Ki11_V18_ear_MN14072_Ki11	Ki11	V18	ear	MN14072	Ki11_V18_ear
Ki11_V18_tassel_MN14061_Ki11	Ki11	V18	tassel	MN14061	Ki11_V18_tassel
Ki11_V18_tassel_MN14062_Ki11	Ki11	V18	tassel	MN14062	Ki11_V18_tassel
Ki3_16DAP_embryo_MN15101_Ki3	Ki3	16DAP	embryo	MN15101	Ki3_16DAP_embryo
Ki3_16DAP_endosperm_MN15092_Ki3	Ki3	16DAP	endosperm	MN15092	Ki3_16DAP_endosperm
Ki3_16DAP_endosperm_MN15093_Ki3	Ki3	16DAP	endosperm	MN15093	Ki3_16DAP_endosperm
Ki3_8DAS_root_MN15011_Ki3	Ki3	8DAS	root	MN15011	Ki3_8DAS_root
Ki3_8DAS_root_MN15012_Ki3	Ki3	8DAS	root	MN15012	Ki3_8DAS_root
Ki3_8DAS_root_MN15013_Ki3	Ki3	8DAS	root	MN15013	Ki3_8DAS_root
Ki3_8DAS_shoot_MN15021_Ki3	Ki3	8DAS	shoot	MN15021	Ki3_8DAS_shoot
Ki3_8DAS_shoot_MN15022_Ki3	Ki3	8DAS	shoot	MN15022	Ki3_8DAS_shoot
Ki3_R1_anther_MN15081_Ki3	Ki3	R1	anther	MN15081	Ki3_R1_anther
Ki3_R1_anther_MN15082_Ki3	Ki3	R1	anther	MN15082	Ki3_R1_anther
Ki3_V11_base_MN15031_Ki3	Ki3	V11	base	MN15031	Ki3_V11_base
Ki3_V11_base_MN15032_Ki3	Ki3	V11	base	MN15032	Ki3_V11_base
Ki3_V11_middle_MN15041_Ki3	Ki3	V11	middle	MN15041	Ki3_V11_middle
Ki3_V11_middle_MN15042_Ki3	Ki3	V11	middle	MN15042	Ki3_V11_middle
Ki3_V11_tip_MN15051_Ki3	Ki3	V11	tip	MN15051	Ki3_V11_tip
Ki3_V11_tip_MN15052_Ki3	Ki3	V11	tip	MN15052	Ki3_V11_tip
Ki3_V18_ear_MN15071_Ki3	Ki3	V18	ear	MN15071	Ki3_V18_ear
Ki3_V18_ear_MN15072_Ki3	Ki3	V18	ear	MN15072	Ki3_V18_ear
Ki3_V18_tassel_MN15061_Ki3	Ki3	V18	tassel	MN15061	Ki3_V18_tassel
Ki3_V18_tassel_MN15062_Ki3	Ki3	V18	tassel	MN15062	Ki3_V18_tassel
Ky21_16DAP_embryo_MN16101_Ky21	Ky21	16DAP	embryo	MN16101	Ky21_16DAP_embryo
Ky21_16DAP_embryo_MN16102_Ky21	Ky21	16DAP	embryo	MN16102	Ky21_16DAP_embryo
Ky21_16DAP_endosperm_MN16091_Ky21	Ky21	16DAP	endosperm	MN16091	Ky21_16DAP_endosperm
Ky21_16DAP_endosperm_MN16092_Ky21	Ky21	16DAP	endosperm	MN16092	Ky21_16DAP_endosperm
Ky21_8DAS_root_MN16011_Ky21	Ky21	8DAS	root	MN16011	Ky21_8DAS_root
Ky21_8DAS_root_MN16012_Ky21	Ky21	8DAS	root	MN16012	Ky21_8DAS_root
Ky21_8DAS_shoot_MN16021_Ky21	Ky21	8DAS	shoot	MN16021	Ky21_8DAS_shoot
Ky21_8DAS_shoot_MN16022_Ky21	Ky21	8DAS	shoot	MN16022	Ky21_8DAS_shoot
Ky21_R1_anther_MN16081_Ky21	Ky21	R1	anther	MN16081	Ky21_R1_anther
Ky21_R1_anther_MN16082_Ky21	Ky21	R1	anther	MN16082	Ky21_R1_anther
Ky21_V11_base_MN16031_Ky21	Ky21	V11	base	MN16031	Ky21_V11_base
Ky21_V11_base_MN16033_Ky21	Ky21	V11	base	MN16033	Ky21_V11_base
Ky21_V11_middle_MN16041_Ky21	Ky21	V11	middle	MN16041	Ky21_V11_middle
Ky21_V11_middle_MN16042_Ky21	Ky21	V11	middle	MN16042	Ky21_V11_middle
Ky21_V11_tip_MN16051_Ky21	Ky21	V11	tip	MN16051	Ky21_V11_tip
Ky21_V11_tip_MN16053_Ky21	Ky21	V11	tip	MN16053	Ky21_V11_tip
Ky21_V18_ear_MN16071_Ky21	Ky21	V18	ear	MN16071	Ky21_V18_ear
Ky21_V18_ear_MN16072_Ky21	Ky21	V18	ear	MN16072	Ky21_V18_ear
Ky21_V18_tassel_MN16061_Ky21	Ky21	V18	tassel	MN16061	Ky21_V18_tassel
Ky21_V18_tassel_MN16062_Ky21	Ky21	V18	tassel	MN16062	Ky21_V18_tassel
M162W_16DAP_endosperm_MN17091_M162W	M162W	16DAP	endosperm	MN17091	M162W_16DAP_endosperm
M162W_16DAP_endosperm_MN17092_M162W	M162W	16DAP	endosperm	MN17092	M162W_16DAP_endosperm
M162W_16DAP_endosperm_MN17093_M162W	M162W	16DAP	endosperm	MN17093	M162W_16DAP_endosperm
M162W_16DAP_endosperm_MN17094_M162W	M162W	16DAP	endosperm	MN17094	M162W_16DAP_endosperm
M162W_8DAS_root_MN17011_M162W	M162W	8DAS	root	MN17011	M162W_8DAS_root
M162W_8DAS_root_MN17012_M162W	M162W	8DAS	root	MN17012	M162W_8DAS_root
M162W_8DAS_shoot_MN17021_M162W	M162W	8DAS	shoot	MN17021	M162W_8DAS_shoot
M162W_8DAS_shoot_MN17022_M162W	M162W	8DAS	shoot	MN17022	M162W_8DAS_shoot
M162W_R1_anther_MN17081_M162W	M162W	R1	anther	MN17081	M162W_R1_anther
M162W_R1_anther_MN17082_M162W	M162W	R1	anther	MN17082	M162W_R1_anther
M162W_V11_base_MN17032_M162W	M162W	V11	base	MN17032	M162W_V11_base
M162W_V11_base_MN17033_M162W	M162W	V11	base	MN17033	M162W_V11_base
M162W_V11_middle_MN17042_M162W	M162W	V11	middle	MN17042	M162W_V11_middle
M162W_V11_middle_MN17043_M162W	M162W	V11	middle	MN17043	M162W_V11_middle
M162W_V11_tip_MN17052_M162W	M162W	V11	tip	MN17052	M162W_V11_tip
M162W_V11_tip_MN17053_M162W	M162W	V11	tip	MN17053	M162W_V11_tip
M162W_V18_ear_MN17071_M162W	M162W	V18	ear	MN17071	M162W_V18_ear
M162W_V18_ear_MN17072_M162W	M162W	V18	ear	MN17072	M162W_V18_ear
M162W_V18_tassel_MN17061_M162W	M162W	V18	tassel	MN17061	M162W_V18_tassel
M162W_V18_tassel_MN17062_M162W	M162W	V18	tassel	MN17062	M162W_V18_tassel
M37W_16DAP_embryo_MN18101_M37W	M37W	16DAP	embryo	MN18101	M37W_16DAP_embryo
M37W_16DAP_embryo_MN18102_M37W	M37W	16DAP	embryo	MN18102	M37W_16DAP_embryo
M37W_16DAP_endosperm_MN18091_M37W	M37W	16DAP	endosperm	MN18091	M37W_16DAP_endosperm
M37W_16DAP_endosperm_MN18092_M37W	M37W	16DAP	endosperm	MN18092	M37W_16DAP_endosperm
M37W_8DAS_root_MN18011_M37W	M37W	8DAS	root	MN18011	M37W_8DAS_root
M37W_8DAS_root_MN18012_M37W	M37W	8DAS	root	MN18012	M37W_8DAS_root
M37W_8DAS_shoot_MN18021_M37W	M37W	8DAS	shoot	MN18021	M37W_8DAS_shoot
M37W_8DAS_shoot_MN18022_M37W	M37W	8DAS	shoot	MN18022	M37W_8DAS_shoot
M37W_R1_anther_MN18081_M37W	M37W	R1	anther	MN18081	M37W_R1_anther
M37W_R1_anther_MN18082_M37W	M37W	R1	anther	MN18082	M37W_R1_anther
M37W_V11_base_MN18031_M37W	M37W	V11	base	MN18031	M37W_V11_base
M37W_V11_base_MN18032_M37W	M37W	V11	base	MN18032	M37W_V11_base
M37W_V11_middle_MN18041_M37W	M37W	V11	middle	MN18041	M37W_V11_middle
M37W_V11_middle_MN18042_M37W	M37W	V11	middle	MN18042	M37W_V11_middle
M37W_V11_tip_MN18051_M37W	M37W	V11	tip	MN18051	M37W_V11_tip
M37W_V11_tip_MN18052_M37W	M37W	V11	tip	MN18052	M37W_V11_tip
M37W_V18_ear_MN18071_M37W	M37W	V18	ear	MN18071	M37W_V18_ear
M37W_V18_ear_MN18072_M37W	M37W	V18	ear	MN18072	M37W_V18_ear
M37W_V18_tassel_MN18061_M37W	M37W	V18	tassel	MN18061	M37W_V18_tassel
M37W_V18_tassel_MN18062_M37W	M37W	V18	tassel	MN18062	M37W_V18_tassel
Mo18W_16DAP_embryo_MN19101_Mo18W	Mo18W	16DAP	embryo	MN19101	Mo18W_16DAP_embryo
Mo18W_16DAP_embryo_MN19102_Mo18W	Mo18W	16DAP	embryo	MN19102	Mo18W_16DAP_embryo
Mo18W_16DAP_endosperm_MN19092_Mo18W	Mo18W	16DAP	endosperm	MN19092	Mo18W_16DAP_endosperm
Mo18W_8DAS_root_MN19011_Mo18W	Mo18W	8DAS	root	MN19011	Mo18W_8DAS_root
Mo18W_8DAS_root_MN19012_Mo18W	Mo18W	8DAS	root	MN19012	Mo18W_8DAS_root
Mo18W_8DAS_shoot_MN19021_Mo18W	Mo18W	8DAS	shoot	MN19021	Mo18W_8DAS_shoot
Mo18W_8DAS_shoot_MN19022_Mo18W	Mo18W	8DAS	shoot	MN19022	Mo18W_8DAS_shoot
Mo18W_R1_anther_MN19081_Mo18W	Mo18W	R1	anther	MN19081	Mo18W_R1_anther
Mo18W_R1_anther_MN19082_Mo18W	Mo18W	R1	anther	MN19082	Mo18W_R1_anther
Mo18W_V11_base_MN19031_Mo18W	Mo18W	V11	base	MN19031	Mo18W_V11_base
Mo18W_V11_base_MN19032_Mo18W	Mo18W	V11	base	MN19032	Mo18W_V11_base
Mo18W_V11_middle_MN19041_Mo18W	Mo18W	V11	middle	MN19041	Mo18W_V11_middle
Mo18W_V11_middle_MN19042_Mo18W	Mo18W	V11	middle	MN19042	Mo18W_V11_middle
Mo18W_V11_tip_MN19051_Mo18W	Mo18W	V11	tip	MN19051	Mo18W_V11_tip
Mo18W_V11_tip_MN19052_Mo18W	Mo18W	V11	tip	MN19052	Mo18W_V11_tip
Mo18W_V18_ear_MN19071_Mo18W	Mo18W	V18	ear	MN19071	Mo18W_V18_ear
