11052	12447	13104	13466	13683	13905	14017	14127	14266	14304	14379	14433	14490	14537	14571	14608	14628	14658	14688	14707	14726	14739	14753	14774	14791	14801	
10852	12321	13056	13452	13741	13913	14052	14173	14257	14319	14377	14423	14458	14511	14544	14573	14598	14635	14665	14687	14706	14727	14738	14763	14784	14801	
10931	12141	12932	13319	13724	13920	14057	14152	14241	14305	14378	14435	14469	14514	14554	14592	14625	14650	14677	14692	14709	14717	14737	14762	14782	14801	
10917	12385	13073	13453	13705	13894	14030	14142	14225	14306	14360	14412	14460	14508	14549	14582	14621	14648	14668	14692	14712	14727	14754	14779	14790	14801	
10713	12314	13043	13415	13708	13940	14085	14207	14269	14350	14413	14467	14502	14539	14567	14598	14631	14652	14677	14703	14712	14728	14749	14771	14791	14801	
10713	12567	13208	13585	13806	13978	14119	14202	14291	14368	14424	14459	14506	14546	14592	14617	14649	14667	14685	14704	14722	14735	14751	14765	14785	14801	
10912	12464	13101	13453	13723	13923	14041	14173	14258	14314	14366	14414	14468	14514	14552	14586	14602	14635	14664	14690	14713	14726	14744	14768	14782	14801	
10863	12321	13001	13480	13739	13887	14027	14120	14225	14298	14362	14431	14473	14508	14544	14575	14604	14629	14654	14687	14703	14732	14749	14759	14781	14801	
10877	12360	13062	13458	13651	13866	14008	14148	14232	14302	14362	14406	14454	14484	14533	14578	14606	14638	14664	14689	14721	14738	14757	14770	14786	14801	
10996	12401	13112	13484	13733	13920	14031	14125	14200	14301	14378	14415	14465	14506	14552	14587	14605	14625	14659	14676	14700	14723	14741	14761	14781	14801	
10953	12399	13130	13477	13713	13939	14070	14174	14243	14312	14373	14410	14459	14503	14535	14568	14606	14640	14678	14702	14716	14737	14760	14768	14783	14801	
10948	12463	13139	13512	13737	13941	14076	14174	14257	14324	14380	14433	14485	14526	14557	14599	14628	14661	14685	14717	14732	14749	14765	14776	14788	14801	
10953	12428	13109	13501	13718	13926	14068	14188	14266	14323	14375	14440	14483	14521	14539	14577	14609	14639	14670	14683	14711	14728	14748	14765	14785	14801	
11052	12462	13130	13577	13796	13954	14076	14167	14230	14316	14373	14422	14463	14513	14562	14602	14630	14653	14676	14700	14725	14752	14764	14777	14792	14801	
10713	12460	13098	13500	13719	13936	14063	14157	14248	14318	14394	14453	14503	14527	14548	14589	14616	14638	14674	14695	14715	14731	14747	14764	14786	14801	
10691	12491	13189	13554	13788	13961	14057	14137	14219	14274	14340	14387	14440	14494	14533	14583	14610	14646	14668	14686	14705	14728	14748	14767	14784	14801	
