FullName	Population
Z001E0008:D10RTACXX:5:250079782	B73 x B97
Z001E0009:628NHAAXX:1:250021126	B73 x B97
Z001E0009:D10RTACXX:5:250079794	B73 x B97
Z001E0010:628NHAAXX:1:250021138	B73 x B97
Z001E0010:D10RTACXX:5:250079806	B73 x B97
Z001E0011:628NHAAXX:1:250021150	B73 x B97
Z001E0011:D10RTACXX:5:250079818	B73 x B97
Z001E0011:D260TACXX:5:250178774	B73 x B97
Z001E0012:628NHAAXX:2:250021177	B73 x B97
Z001E0012:D10RTACXX:5:250079830	B73 x B97
Z001E0013:628NHAAXX:2:250021189	B73 x B97
Z001E0013:D10RTACXX:5:250079842	B73 x B97
Z001E0014:628NHAAXX:2:250021201	B73 x B97
Z001E0014:D10RTACXX:5:250079854	B73 x B97
Z001E0015:628NHAAXX:2:250021213	B73 x B97
Z001E0015:D10RTACXX:5:250079866	B73 x B97
Z001E0016:628NHAAXX:1:250021115	B73 x B97
Z001E0016:D10RTACXX:5:250079783	B73 x B97
Z001E0017:628NHAAXX:1:250021127	B73 x B97
Z001E0017:D10RTACXX:5:250079795	B73 x B97
Z001E0018:628NHAAXX:1:250021139	B73 x B97
Z001E0018:D10RTACXX:5:250079807	B73 x B97
Z001E0019:628NHAAXX:1:250021151	B73 x B97
Z001E0019:D10RTACXX:5:250079819	B73 x B97
Z001E0020:628NJAAXX:5:250024710	B73 x B97
Z001E0021:628NJAAXX:5:250024722	B73 x B97
Z001E0022:628NJAAXX:5:250024734	B73 x B97
Z001E0023:628NHAAXX:2:250021214	B73 x B97
Z001E0023:D10RTACXX:5:250079867	B73 x B97
Z001E0024:628NHAAXX:1:250021116	B73 x B97
Z001E0024:D10RTACXX:5:250079784	B73 x B97
Z001E0025:628NHAAXX:1:250021128	B73 x B97
Z001E0025:D10RTACXX:5:250079796	B73 x B97
Z001E0027:628NHAAXX:1:250021140	B73 x B97
Z001E0027:D10RTACXX:5:250079808	B73 x B97
Z001E0028:628NHAAXX:1:250021152	B73 x B97
Z001E0028:D10RTACXX:5:250079820	B73 x B97
Z001E0029:627C3AAXX:4:250028642	B73 x B97
Z001E0029:633Y5AAXX:6:250028856	B73 x B97
Z001E0029:D10RTACXX:5:250079832	B73 x B97
Z001E0029:D260TACXX:5:250178775	B73 x B97
Z001E0029:MRG:2:250042300	B73 x B97
Z001E0030:628NHAAXX:2:250021191	B73 x B97
Z001E0030:D10RTACXX:5:250079844	B73 x B97
Z001E0031:628NHAAXX:2:250021203	B73 x B97
Z001E0031:D10RTACXX:5:250079856	B73 x B97
Z001E0032:628NHAAXX:2:250021215	B73 x B97
Z001E0032:D10RTACXX:5:250079868	B73 x B97
Z001E0033:628NHAAXX:1:250021117	B73 x B97
Z001E0033:D10RTACXX:5:250079785	B73 x B97
Z001E0034:628NHAAXX:1:250021129	B73 x B97
Z001E0034:D10RTACXX:5:250079797	B73 x B97
Z001E0036:628NHAAXX:1:250021141	B73 x B97
Z001E0036:D10RTACXX:5:250079809	B73 x B97
Z001E0037:628NHAAXX:1:250021153	B73 x B97
Z001E0037:D10RTACXX:5:250079821	B73 x B97
Z001E0038:628NHAAXX:2:250021180	B73 x B97
Z001E0038:D10RTACXX:5:250079833	B73 x B97
Z001E0039:628NHAAXX:2:250021192	B73 x B97
Z001E0039:D10RTACXX:5:250079845	B73 x B97
Z001E0040:628NHAAXX:2:250021204	B73 x B97
Z001E0040:D10RTACXX:5:250079857	B73 x B97
Z001E0041:628NHAAXX:2:250021216	B73 x B97
Z001E0041:D10RTACXX:5:250079869	B73 x B97
Z001E0042:628NHAAXX:1:250021118	B73 x B97
Z001E0042:D10RTACXX:5:250079786	B73 x B97
Z001E0043:628NHAAXX:1:250021130	B73 x B97
Z001E0043:D10RTACXX:5:250079798	B73 x B97
Z001E0044:628NHAAXX:1:250021142	B73 x B97
Z001E0044:D10RTACXX:5:250079810	B73 x B97
Z001E0045:628NHAAXX:1:250021154	B73 x B97
Z001E0045:D10RTACXX:5:250079822	B73 x B97
Z001E0046:628NHAAXX:2:250021181	B73 x B97
Z001E0046:D10RTACXX:5:250079834	B73 x B97
Z001E0047:628NHAAXX:2:250021193	B73 x B97
Z001E0047:D10RTACXX:5:250079846	B73 x B97
Z001E0048:628NHAAXX:2:250021205	B73 x B97
Z001E0048:D10RTACXX:5:250079858	B73 x B97
Z001E0049:628NHAAXX:2:250021217	B73 x B97
Z001E0049:D10RTACXX:5:250079870	B73 x B97
Z001E0050:628NHAAXX:1:250021119	B73 x B97
Z001E0050:D10RTACXX:5:250079787	B73 x B97
Z001E0051:628NHAAXX:1:250021131	B73 x B97
Z001E0051:D10RTACXX:5:250079799	B73 x B97
Z001E0052:628NHAAXX:1:250021143	B73 x B97
Z001E0052:D10RTACXX:5:250079811	B73 x B97
Z001E0053:628NHAAXX:1:250021155	B73 x B97
Z001E0053:D10RTACXX:5:250079823	B73 x B97
Z001E0054:628NHAAXX:2:250021182	B73 x B97
Z001E0054:D10RTACXX:5:250079835	B73 x B97
Z001E0055:628NHAAXX:2:250021194	B73 x B97
Z001E0055:D10RTACXX:5:250079847	B73 x B97
Z001E0056:628NHAAXX:2:250021206	B73 x B97
Z001E0056:D10RTACXX:5:250079859	B73 x B97
Z001E0057:628NHAAXX:2:250021218	B73 x B97
Z001E0057:D10RTACXX:5:250079871	B73 x B97
Z001E0058:628NHAAXX:1:250021120	B73 x B97
Z001E0058:D10RTACXX:5:250079788	B73 x B97
Z001E0059:628NHAAXX:1:250021132	B73 x B97
Z001E0059:D10RTACXX:5:250079800	B73 x B97
Z001E0060:628NHAAXX:1:250021144	B73 x B97
Z001E0060:D10RTACXX:5:250079812	B73 x B97
Z001E0061:628NHAAXX:1:250021156	B73 x B97
Z001E0061:D10RTACXX:5:250079824	B73 x B97
Z001E0062:628NHAAXX:2:250021183	B73 x B97
Z001E0062:D10RTACXX:5:250079836	B73 x B97
Z001E0063:628NHAAXX:2:250021195	B73 x B97
Z001E0063:D10RTACXX:5:250079848	B73 x B97
Z001E0064:628NHAAXX:2:250021207	B73 x B97
Z001E0064:D10RTACXX:5:250079860	B73 x B97
Z001E0065:628NHAAXX:2:250021219	B73 x B97
Z001E0065:D10RTACXX:5:250079872	B73 x B97
Z001E0066:628NHAAXX:1:250021121	B73 x B97
Z001E0066:D10RTACXX:5:250079789	B73 x B97
Z001E0067:628NHAAXX:1:250021133	B73 x B97
Z001E0067:D10RTACXX:5:250079801	B73 x B97
Z001E0068:628NHAAXX:1:250021145	B73 x B97
Z001E0068:D10RTACXX:5:250079813	B73 x B97
Z001E0069:628NHAAXX:1:250021157	B73 x B97
Z001E0069:D10RTACXX:5:250079825	B73 x B97
Z001E0070:628NHAAXX:2:250021184	B73 x B97
Z001E0070:D10RTACXX:5:250079837	B73 x B97
Z001E0071:628NHAAXX:2:250021196	B73 x B97
Z001E0071:D10RTACXX:5:250079849	B73 x B97
Z001E0072:628NHAAXX:2:250021208	B73 x B97
Z001E0072:D10RTACXX:5:250079861	B73 x B97
Z001E0073:628NHAAXX:2:250021220	B73 x B97
Z001E0073:D10RTACXX:5:250079873	B73 x B97
Z001E0074:628NHAAXX:1:250021122	B73 x B97
Z001E0074:D10RTACXX:5:250079790	B73 x B97
Z001E0075:628NHAAXX:1:250021134	B73 x B97
Z001E0075:D10RTACXX:5:250079802	B73 x B97
Z001E0076:628NHAAXX:1:250021146	B73 x B97
Z001E0076:D10RTACXX:5:250079814	B73 x B97
Z001E0077:628NHAAXX:1:250021158	B73 x B97
Z001E0077:D10RTACXX:5:250079826	B73 x B97
Z001E0078:628NHAAXX:2:250021185	B73 x B97
Z001E0078:D10RTACXX:5:250079838	B73 x B97
Z001E0079:628NHAAXX:2:250021197	B73 x B97
Z001E0079:D10RTACXX:5:250079850	B73 x B97
Z001E0080:628NHAAXX:2:250021209	B73 x B97
Z001E0080:D10RTACXX:5:250079862	B73 x B97
Z001E0081:628NHAAXX:2:250021221	B73 x B97
Z001E0081:D10RTACXX:5:250079874	B73 x B97
Z001E0082:628NHAAXX:1:250021123	B73 x B97
Z001E0082:D10RTACXX:5:250079791	B73 x B97
Z001E0083:628NHAAXX:1:250021135	B73 x B97
Z001E0083:D10RTACXX:5:250079803	B73 x B97
Z001E0085:628NHAAXX:1:250021159	B73 x B97
Z001E0085:D10RTACXX:5:250079827	B73 x B97
Z001E0086:628NHAAXX:2:250021186	B73 x B97
Z001E0086:D10RTACXX:5:250079839	B73 x B97
Z001E0087:628NHAAXX:2:250021198	B73 x B97
Z001E0087:D10RTACXX:5:250079851	B73 x B97
Z001E0088:628NHAAXX:2:250021210	B73 x B97
Z001E0088:D10RTACXX:5:250079863	B73 x B97
Z001E0089:628NHAAXX:2:250021222	B73 x B97
Z001E0089:D10RTACXX:5:250079875	B73 x B97
Z001E0090:628NHAAXX:1:250021136	B73 x B97
Z001E0090:D10RTACXX:5:250079804	B73 x B97
Z001E0091:628NHAAXX:1:250021148	B73 x B97
Z001E0091:D10RTACXX:5:250079816	B73 x B97
Z001E0092:628NHAAXX:1:250021160	B73 x B97
Z001E0092:D10RTACXX:5:250079828	B73 x B97
Z001E0093:628NHAAXX:2:250021187	B73 x B97
Z001E0093:D10RTACXX:5:250079840	B73 x B97
Z001E0094:628NHAAXX:2:250021199	B73 x B97
Z001E0094:D10RTACXX:5:250079852	B73 x B97
Z001E0095:628NHAAXX:2:250021211	B73 x B97
Z001E0095:D10RTACXX:5:250079864	B73 x B97
Z001E0096:628NHAAXX:2:250021223	B73 x B97
Z001E0096:D10RTACXX:5:250079876	B73 x B97
Z001E0097:61VBRAAXX:5:250021251	B73 x B97
Z001E0098:61VBRAAXX:5:250021263	B73 x B97
Z001E0099:61VBRAAXX:5:250021275	B73 x B97
Z001E0100:61VBRAAXX:4:250021302	B73 x B97
Z001E0101:61VBRAAXX:4:250021314	B73 x B97
Z001E0102:61VBRAAXX:4:250021326	B73 x B97
Z001E0103:628NJAAXX:5:250024746	B73 x B97
Z001E0104:61VBRAAXX:5:250021240	B73 x B97
Z001E0105:61VBRAAXX:5:250021252	B73 x B97
Z001E0106:61VBRAAXX:5:250021264	B73 x B97
Z001E0106:D260TACXX:5:250178776	B73 x B97
Z001E0107:61VBRAAXX:5:250021276	B73 x B97
Z001E0108:61VBRAAXX:4:250021303	B73 x B97
Z001E0109:61VBRAAXX:4:250021315	B73 x B97
Z001E0110:61VBRAAXX:4:250021327	B73 x B97
Z001E0111:628NJAAXX:4:250024648	B73 x B97
Z001E0112:61VBRAAXX:5:250021241	B73 x B97
Z001E0113:61VBRAAXX:5:250021253	B73 x B97
Z001E0114:61VBRAAXX:5:250021265	B73 x B97
Z001E0115:61VBRAAXX:5:250021277	B73 x B97
Z001E0116:61VBRAAXX:4:250021304	B73 x B97
Z001E0117:61VBRAAXX:4:250021316	B73 x B97
Z001E0118:61VBRAAXX:4:250021328	B73 x B97
Z001E0119:61VBRAAXX:4:250021340	B73 x B97
Z001E0120:61VBRAAXX:5:250021242	B73 x B97
Z001E0121:61VBRAAXX:5:250021254	B73 x B97
Z001E0122:61VBRAAXX:5:250021266	B73 x B97
Z001E0123:61VBRAAXX:5:250021278	B73 x B97
Z001E0124:61VBRAAXX:4:250021305	B73 x B97
Z001E0125:61VBRAAXX:4:250021317	B73 x B97
Z001E0126:61VBRAAXX:4:250021329	B73 x B97
Z001E0127:61VBRAAXX:4:250021341	B73 x B97
Z001E0128:61VBRAAXX:5:250021243	B73 x B97
Z001E0129:61VBRAAXX:5:250021255	B73 x B97
Z001E0130:61VBRAAXX:5:250021267	B73 x B97
Z001E0131:61VBRAAXX:5:250021279	B73 x B97
Z001E0132:61VBRAAXX:4:250021306	B73 x B97
Z001E0132:D260TACXX:5:250178777	B73 x B97
Z001E0133:61VBRAAXX:4:250021318	B73 x B97
Z001E0133:D260TACXX:5:250178778	B73 x B97
Z001E0134:61VBRAAXX:4:250021330	B73 x B97
Z001E0135:61VBRAAXX:4:250021342	B73 x B97
Z001E0136:61VBRAAXX:5:250021244	B73 x B97
Z001E0137:61VBRAAXX:5:250021256	B73 x B97
Z001E0138:61VBRAAXX:5:250021268	B73 x B97
Z001E0139:61VBRAAXX:5:250021280	B73 x B97
Z001E0140:61VBRAAXX:4:250021307	B73 x B97
Z001E0141:61VBRAAXX:4:250021319	B73 x B97
Z001E0143:61VBRAAXX:4:250021331	B73 x B97
Z001E0144:61VBRAAXX:4:250021343	B73 x B97
Z001E0145:61VBRAAXX:5:250021245	B73 x B97
Z001E0146:61VBRAAXX:5:250021257	B73 x B97
Z001E0147:61VBRAAXX:5:250021269	B73 x B97
Z001E0148:61VBRAAXX:5:250021281	B73 x B97
Z001E0149:61VBRAAXX:4:250021308	B73 x B97
Z001E0150:61VBRAAXX:4:250021320	B73 x B97
Z001E0151:61VBRAAXX:4:250021332	B73 x B97
Z001E0152:61VBRAAXX:4:250021344	B73 x B97
Z001E0153:61VBRAAXX:5:250021246	B73 x B97
Z001E0154:61VBRAAXX:5:250021258	B73 x B97
Z001E0156:61VBRAAXX:5:250021270	B73 x B97
Z001E0157:61VBRAAXX:5:250021282	B73 x B97
Z001E0158:61VBRAAXX:4:250021309	B73 x B97
Z001E0159:61VBRAAXX:4:250021321	B73 x B97
Z001E0160:61VBRAAXX:4:250021333	B73 x B97
Z001E0161:61VBRAAXX:4:250021345	B73 x B97
Z001E0162:61VBRAAXX:5:250021247	B73 x B97
Z001E0163:61VBRAAXX:5:250021259	B73 x B97
Z001E0164:61VBRAAXX:5:250021271	B73 x B97
Z001E0165:61VBRAAXX:5:250021283	B73 x B97
Z001E0166:61VBRAAXX:4:250021310	B73 x B97
Z001E0167:61VBRAAXX:4:250021322	B73 x B97
Z001E0168:61VBRAAXX:4:250021334	B73 x B97
Z001E0169:61VBRAAXX:4:250021346	B73 x B97
Z001E0170:61VBRAAXX:5:250021248	B73 x B97
Z001E0171:61VBRAAXX:5:250021260	B73 x B97
Z001E0172:61VBRAAXX:5:250021272	B73 x B97
Z001E0173:61VBRAAXX:5:250021284	B73 x B97
Z001E0174:61VBRAAXX:4:250021311	B73 x B97
Z001E0175:61VBRAAXX:4:250021323	B73 x B97
Z001E0176:61VBRAAXX:4:250021335	B73 x B97
Z001E0177:61VBRAAXX:4:250021347	B73 x B97
Z001E0178:61VBRAAXX:5:250021249	B73 x B97
Z001E0180:61VBRAAXX:5:250021261	B73 x B97
Z001E0180:628NJAAXX:4:250024660	B73 x B97
Z001E0181:61VBRAAXX:5:250021273	B73 x B97
Z001E0182:61VBRAAXX:5:250021285	B73 x B97
Z001E0183:61VBRAAXX:4:250021312	B73 x B97
Z001E0184:61VBRAAXX:4:250021324	B73 x B97
Z001E0185:61VBRAAXX:4:250021336	B73 x B97
Z001E0186:61VBRAAXX:4:250021348	B73 x B97
Z001E0187:61VBRAAXX:5:250021262	B73 x B97
Z001E0188:61VBRAAXX:5:250021274	B73 x B97
Z001E0189:61VBRAAXX:5:250021286	B73 x B97
Z001E0190:61VBRAAXX:4:250021313	B73 x B97
Z001E0191:61VBRAAXX:4:250021325	B73 x B97
Z001E0192:61VBRAAXX:4:250021337	B73 x B97
Z001E0193:61VBRAAXX:4:250021349	B73 x B97
Z001E0194:62P7LAAXX:4:250027880	B73 x B97
Z001E0195:62P7LAAXX:4:250027917	B73 x B97
Z001E0196:62P7LAAXX:4:250027900	B73 x B97
Z001E0197:62P7LAAXX:4:250027920	B73 x B97
Z001E0198:62P7LAAXX:4:250027932	B73 x B97
Z001E0199:62P7LAAXX:4:250027944	B73 x B97
Z001E0200:62P7LAAXX:4:250027956	B73 x B97
Z001E0215:62P7LAAXX:4:250027873	B73 x B97
Z001E0229:62P7LAAXX:4:250027881	B73 x B97
Z001E0262:633Y5AAXX:6:250028769	B73 x B97
Z001E0274:633Y5AAXX:6:250028806	B73 x B97
Z001E0279:633Y5AAXX:6:250028789	B73 x B97
Z002E0001:61VBRAAXX:6:250021377	B73 x CML103
Z002E0002:61VBRAAXX:6:250021389	B73 x CML103
Z002E0003:61VBRAAXX:6:250021401	B73 x CML103
Z002E0004:61VBRAAXX:7:250021428	B73 x CML103
Z002E0005:61VBRAAXX:7:250021440	B73 x CML103
Z002E0006:61VBRAAXX:7:250021452	B73 x CML103
Z002E0007:61VBRAAXX:7:250021464	B73 x CML103
Z002E0008:61VBRAAXX:6:250021366	B73 x CML103
Z002E0008:D260TACXX:5:250178779	B73 x CML103
Z002E0009:61VBRAAXX:6:250021378	B73 x CML103
Z002E0010:61VBRAAXX:6:250021390	B73 x CML103
Z002E0011:61VBRAAXX:6:250021402	B73 x CML103
Z002E0012:61VBRAAXX:7:250021429	B73 x CML103
Z002E0013:61VBRAAXX:7:250021441	B73 x CML103
Z002E0014:61VBRAAXX:7:250021453	B73 x CML103
Z002E0015:61VBRAAXX:7:250021465	B73 x CML103
Z002E0016:61VBRAAXX:6:250021367	B73 x CML103
Z002E0017:61VBRAAXX:6:250021379	B73 x CML103
Z002E0018:61VBRAAXX:6:250021391	B73 x CML103
Z002E0019:61VBRAAXX:6:250021403	B73 x CML103
Z002E0020:61VBRAAXX:7:250021430	B73 x CML103
Z002E0021:61VBRAAXX:7:250021442	B73 x CML103
Z002E0022:61VBRAAXX:7:250021454	B73 x CML103
Z002E0023:61VBRAAXX:7:250021466	B73 x CML103
Z002E0025:61VBRAAXX:6:250021368	B73 x CML103
Z002E0026:61VBRAAXX:6:250021380	B73 x CML103
Z002E0027:61VBRAAXX:6:250021392	B73 x CML103
Z002E0028:61VBRAAXX:6:250021404	B73 x CML103
Z002E0029:61VBRAAXX:7:250021431	B73 x CML103
Z002E0030:61VBRAAXX:7:250021443	B73 x CML103
Z002E0031:61VBRAAXX:7:250021455	B73 x CML103
Z002E0032:61VBRAAXX:7:250021467	B73 x CML103
Z002E0033:61VBRAAXX:6:250021369	B73 x CML103
Z002E0034:61VBRAAXX:6:250021381	B73 x CML103
Z002E0035:61VBRAAXX:6:250021393	B73 x CML103
Z002E0036:61VBRAAXX:6:250021405	B73 x CML103
Z002E0037:61VBRAAXX:7:250021432	B73 x CML103
Z002E0038:61VBRAAXX:7:250021444	B73 x CML103
Z002E0039:61VBRAAXX:7:250021456	B73 x CML103
Z002E0040:61VBRAAXX:7:250021468	B73 x CML103
Z002E0041:61VBRAAXX:6:250021370	B73 x CML103
Z002E0042:61VBRAAXX:6:250021382	B73 x CML103
Z002E0043:61VBRAAXX:6:250021394	B73 x CML103
Z002E0044:61VBRAAXX:6:250021406	B73 x CML103
Z002E0045:61VBRAAXX:7:250021433	B73 x CML103
Z002E0045:D260TACXX:5:250178780	B73 x CML103
Z002E0046:61VBRAAXX:7:250021445	B73 x CML103
Z002E0046:D260TACXX:5:250178781	B73 x CML103
Z002E0047:61VBRAAXX:7:250021457	B73 x CML103
Z002E0048:61VBRAAXX:7:250021469	B73 x CML103
Z002E0049:61VBRAAXX:6:250021371	B73 x CML103
Z002E0050:61VBRAAXX:6:250021383	B73 x CML103
Z002E0051:61VBRAAXX:6:250021395	B73 x CML103
Z002E0052:61VBRAAXX:6:250021407	B73 x CML103
Z002E0052:D260TACXX:5:250178782	B73 x CML103
Z002E0053:61VBRAAXX:7:250021434	B73 x CML103
Z002E0054:61VBRAAXX:7:250021446	B73 x CML103
Z002E0055:61VBRAAXX:7:250021458	B73 x CML103
Z002E0056:61VBRAAXX:7:250021470	B73 x CML103
Z002E0057:61VBRAAXX:6:250021372	B73 x CML103
Z002E0058:61VBRAAXX:6:250021384	B73 x CML103
Z002E0059:61VBRAAXX:6:250021396	B73 x CML103
Z002E0060:61VBRAAXX:6:250021408	B73 x CML103
Z002E0061:61VBRAAXX:7:250021435	B73 x CML103
Z002E0062:61VBRAAXX:7:250021447	B73 x CML103
Z002E0063:61VBRAAXX:7:250021459	B73 x CML103
Z002E0064:61VBRAAXX:7:250021471	B73 x CML103
Z002E0065:61VBRAAXX:6:250021373	B73 x CML103
Z002E0066:61VBRAAXX:6:250021385	B73 x CML103
Z002E0068:61VBRAAXX:6:250021397	B73 x CML103
